{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Kingdom', 'name': 'Bacteria', 'quantity': '82.57763090965415'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Class', 'name': 'Coriobacteriia', 'quantity': '0.1861874125629477'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Class', 'name': 'Gammaproteobacteria', 'quantity': '0.01516978519017'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Class', 'name': 'CFGB1670', 'quantity': '0.0'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Class', 'name': 'CFGB667', 'quantity': '0.1359493828078179'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Class', 'name': 'Firmicutes_unclassified', 'quantity': '0.0243873930850144'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Class', 'name': 'CFGB9272', 'quantity': '0.1152490328807412'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Class', 'name': 'CFGB3054', 'quantity': '0.000239740474395'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Class', 'name': 'CFGB2378', 'quantity': '0.0217998493441298'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Class', 'name': 'CFGB1292', 'quantity': '0.0'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Class', 'name': 'CFGB75721', 'quantity': '0.0136321393888775'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Class', 'name': 'CFGB2874', 'quantity': '0.0'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Class', 'name': 'CFGB1354', 'quantity': '1.3074205436569908'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Class', 'name': 'CFGB2404', 'quantity': '4.644459142803807'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Class', 'name': 'CFGB1474', 'quantity': '0.0'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Class', 'name': 'CFGB2982', 'quantity': '0.7365323388190775'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Class', 'name': 'Bacilli', 'quantity': '0.006067914076068'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Class', 'name': 'Lentisphaeria', 'quantity': '0.4646335732034417'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Class', 'name': 'Methanobacteria', 'quantity': '0.0914981920898102'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Class', 'name': 'CFGB2164', 'quantity': '0.0436823678173615'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Class', 'name': 'CFGB72924', 'quantity': '0.0'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Class', 'name': 'CFGB2839', 'quantity': '0.0'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Class', 'name': 'CFGB3048', 'quantity': '0.0409708203828243'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Class', 'name': 'CFGB1359', 'quantity': '0.0'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Class', 'name': 'CFGB1374', 'quantity': '0.0006613530328139'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Class', 'name': 'CFGB4605', 'quantity': '0.0588686868333518'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Class', 'name': 'CFGB1249', 'quantity': '0.0010829655912328'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Class', 'name': 'CFGB1211', 'quantity': '0.093101973194384'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Class', 'name': 'CFGB79291', 'quantity': '0.0093829461530479'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Class', 'name': 'Deltaproteobacteria', 'quantity': '0.2423858865263133'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Class', 'name': 'CFGB1226', 'quantity': '0.0172943818080848'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Class', 'name': 'CFGB3062', 'quantity': '0.5150286743038648'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Class', 'name': 'CFGB3023', 'quantity': '0.0243047239559127'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Class', 'name': 'CFGB1347', 'quantity': '0.0'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Class', 'name': 'CFGB10341', 'quantity': '0.0'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Class', 'name': 'CFGB1814', 'quantity': '0.0'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Class', 'name': 'CFGB1126', 'quantity': '0.0'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Class', 'name': 'CFGB2838', 'quantity': '0.0'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Class', 'name': 'Bacteria_unclassified', 'quantity': '0.0114496743805915'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Class', 'name': 'Candidatus_Saccharibacteria_unclassified', 'quantity': '0.0017195178853162'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Class', 'name': 'CFGB79244', 'quantity': '0.0'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Class', 'name': 'CFGB3069', 'quantity': '0.0094573483692395'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Class', 'name': 'CFGB3047', 'quantity': '0.0003306765164069'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Class', 'name': 'CFGB1011', 'quantity': '0.0085645217749406'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Order', 'name': 'Bacteroidales', 'quantity': '20.151823721660797'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Order', 'name': 'OFGB1765', 'quantity': '5.105504875804234'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Order', 'name': 'Burkholderiales', 'quantity': '2.2814860911241093'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Order', 'name': 'OFGB2403', 'quantity': '0.0'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Order', 'name': 'OFGB1325', 'quantity': '0.2184862413029991'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Order', 'name': 'Eubacteriales', 'quantity': '0.5057035965411881'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Order', 'name': 'OFGB72899', 'quantity': '0.0'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Order', 'name': 'OFGB1776', 'quantity': '1.2011163105450582'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Order', 'name': 'OFGB38642', 'quantity': '0.761341344462511'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Order', 'name': 'OFGB602', 'quantity': '0.4822916991795742'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Order', 'name': 'Veillonellales', 'quantity': '0.0'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Order', 'name': 'OFGB2834', 'quantity': '0.1509620966526946'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Order', 'name': 'Bifidobacteriales', 'quantity': '0.6315425448598627'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Order', 'name': 'Coriobacteriales', 'quantity': '0.1603863773702934'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Order', 'name': 'Pasteurellales', 'quantity': '0.0'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Order', 'name': 'OFGB1670', 'quantity': '0.0'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Order', 'name': 'Eggerthellales', 'quantity': '0.0258010351926542'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Order', 'name': 'OFGB667', 'quantity': '0.1359493828078179'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Order', 'name': 'Firmicutes_unclassified', 'quantity': '0.0243873930850144'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Order', 'name': 'Candidatus_Borkfalkiales', 'quantity': '0.277834409085141'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Order', 'name': 'OFGB9272', 'quantity': '0.1152490328807412'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Order', 'name': 'OFGB3054', 'quantity': '0.000239740474395'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Order', 'name': 'OFGB2378', 'quantity': '0.0217998493441298'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Order', 'name': 'OFGB1292', 'quantity': '0.0'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Order', 'name': 'OFGB75721', 'quantity': '0.0136321393888775'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Order', 'name': 'Acidaminococcales', 'quantity': '0.2201726915366746'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Order', 'name': 'OFGB2874', 'quantity': '0.0'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Order', 'name': 'OFGB1354', 'quantity': '1.3074205436569908'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Order', 'name': 'OFGB2404', 'quantity': '4.644459142803807'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Order', 'name': 'OFGB1474', 'quantity': '0.0'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Order', 'name': 'OFGB2982', 'quantity': '0.7365323388190775'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Order', 'name': 'Lactobacillales', 'quantity': '0.006067914076068'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Order', 'name': 'Victivallales', 'quantity': '0.4646335732034417'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Order', 'name': 'Methanobacteriales', 'quantity': '0.0914981920898102'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Order', 'name': 'OFGB2164', 'quantity': '0.0436823678173615'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Order', 'name': 'OFGB72924', 'quantity': '0.0'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Order', 'name': 'OFGB2839', 'quantity': '0.0'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Order', 'name': 'OFGB3048', 'quantity': '0.0409708203828243'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Order', 'name': 'OFGB1359', 'quantity': '0.0'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Order', 'name': 'OFGB1374', 'quantity': '0.0006613530328139'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Order', 'name': 'OFGB4605', 'quantity': '0.0588686868333518'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Order', 'name': 'OFGB1249', 'quantity': '0.0010829655912328'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Order', 'name': 'OFGB1211', 'quantity': '0.093101973194384'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Order', 'name': 'OFGB79291', 'quantity': '0.0093829461530479'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Order', 'name': 'Desulfovibrionales', 'quantity': '0.2423858865263133'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Order', 'name': 'OFGB1226', 'quantity': '0.0172943818080848'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Order', 'name': 'OFGB3062', 'quantity': '0.5150286743038648'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Order', 'name': 'OFGB3023', 'quantity': '0.0243047239559127'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Order', 'name': 'OFGB1347', 'quantity': '0.0'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Order', 'name': 'OFGB10341', 'quantity': '0.0'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Order', 'name': 'OFGB1814', 'quantity': '0.0'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Order', 'name': 'OFGB1126', 'quantity': '0.0'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Order', 'name': 'OFGB2838', 'quantity': '0.0'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Order', 'name': 'Bacteria_unclassified', 'quantity': '0.0114496743805915'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Order', 'name': 'Candidatus_Saccharibacteria_unclassified', 'quantity': '0.0017195178853162'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Order', 'name': 'OFGB79244', 'quantity': '0.0'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Order', 'name': 'OFGB3069', 'quantity': '0.0094573483692395'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Order', 'name': 'OFGB3047', 'quantity': '0.0003306765164069'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Order', 'name': 'OFGB1011', 'quantity': '0.0085645217749406'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Family', 'name': 'Bacteroidaceae', 'quantity': '10.060981816114625'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Family', 'name': 'Lachnospiraceae', 'quantity': '15.3367437633039'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Family', 'name': 'Rikenellaceae', 'quantity': '2.964696841672562'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Family', 'name': 'FGB1765', 'quantity': '5.105504875804234'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Family', 'name': 'Barnesiellaceae', 'quantity': '0.3126298455240651'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Family', 'name': 'Clostridiaceae', 'quantity': '2.612022070011612'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Family', 'name': 'Sutterellaceae', 'quantity': '2.269011319542656'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Family', 'name': 'FGB2403', 'quantity': '0.0'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Family', 'name': 'FGB1325', 'quantity': '0.2184862413029991'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Family', 'name': 'Eubacteriales_incertae_sedis', 'quantity': '0.3783848708115923'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Family', 'name': 'Odoribacteraceae', 'quantity': '0.5818831990084452'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Family', 'name': 'FGB72899', 'quantity': '0.0'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Family', 'name': 'FGB1776', 'quantity': '1.2011163105450582'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Family', 'name': 'FGB38642', 'quantity': '0.761341344462511'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Family', 'name': 'FGB602', 'quantity': '0.4822916991795742'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Family', 'name': 'Tannerellaceae', 'quantity': '5.395863657948289'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Family', 'name': 'Veillonellaceae', 'quantity': '0.0'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Family', 'name': 'Peptostreptococcaceae', 'quantity': '0.0292400709632868'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Family', 'name': 'FGB2834', 'quantity': '0.1509620966526946'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Family', 'name': 'Eubacteriales_unclassified', 'quantity': '1.8382224877934683'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Family', 'name': 'Eubacteriaceae', 'quantity': '0.3278078976271453'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Family', 'name': 'Bifidobacteriaceae', 'quantity': '0.6315425448598627'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Family', 'name': 'Turicibacteraceae', 'quantity': '0.0'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Family', 'name': 'Coriobacteriaceae', 'quantity': '0.1603863773702934'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Family', 'name': 'Pasteurellaceae', 'quantity': '0.0'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Family', 'name': 'FGB1670', 'quantity': '0.0'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Family', 'name': 'Eggerthellaceae', 'quantity': '0.0258010351926542'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Family', 'name': 'FGB667', 'quantity': '0.1359493828078179'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Family', 'name': 'Firmicutes_unclassified', 'quantity': '0.0243873930850144'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Family', 'name': 'Candidatus_Borkfalkiaceae', 'quantity': '0.277834409085141'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Family', 'name': 'FGB9272', 'quantity': '0.1152490328807412'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Family', 'name': 'FGB3054', 'quantity': '0.000239740474395'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Family', 'name': 'FGB2378', 'quantity': '0.0217998493441298'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Family', 'name': 'FGB1292', 'quantity': '0.0'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Family', 'name': 'FGB75721', 'quantity': '0.0136321393888775'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Family', 'name': 'Erysipelotrichaceae', 'quantity': '0.1105038248703011'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Family', 'name': 'Acidaminococcaceae', 'quantity': '0.2201726915366746'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Family', 'name': 'Oxalobacteraceae', 'quantity': '0.0124747715814531'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Family', 'name': 'FGB2874', 'quantity': '0.0'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Family', 'name': 'FGB1354', 'quantity': '1.3074205436569908'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Family', 'name': 'FGB2404', 'quantity': '4.644459142803807'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Family', 'name': 'FGB1474', 'quantity': '0.0'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Family', 'name': 'FGB2982', 'quantity': '0.7365323388190775'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Family', 'name': 'Victivallaceae', 'quantity': '0.4646335732034417'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Family', 'name': 'Methanobacteriaceae', 'quantity': '0.0914981920898102'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Family', 'name': 'FGB2164', 'quantity': '0.0436823678173615'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Family', 'name': 'FGB72924', 'quantity': '0.0'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Family', 'name': 'FGB2839', 'quantity': '0.0'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Family', 'name': 'FGB3048', 'quantity': '0.0409708203828243'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Family', 'name': 'Streptococcaceae', 'quantity': '0.006067914076068'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Family', 'name': 'FGB1359', 'quantity': '0.0'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Family', 'name': 'FGB1374', 'quantity': '0.0006613530328139'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Family', 'name': 'FGB4605', 'quantity': '0.0588686868333518'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Family', 'name': 'FGB1249', 'quantity': '0.0010829655912328'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Family', 'name': 'FGB1211', 'quantity': '0.093101973194384'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Family', 'name': 'FGB79291', 'quantity': '0.0093829461530479'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Family', 'name': 'Enterococcaceae', 'quantity': '0.0'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Family', 'name': 'Oscillospiraceae', 'quantity': '0.1273187257295958'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Family', 'name': 'Desulfovibrionaceae', 'quantity': '0.2423858865263133'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Family', 'name': 'FGB1226', 'quantity': '0.0172943818080848'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Family', 'name': 'FGB3062', 'quantity': '0.5150286743038648'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Family', 'name': 'FGB3023', 'quantity': '0.0243047239559127'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Family', 'name': 'FGB1347', 'quantity': '0.0'}
{'tool': 'MetaPhlAn', 'sample': 'TEC31T0_output', 'depth': 'Family', 'name': 'FGB10341', 'quantity': '0.0'}
