Sample	Taxa_id	Taxonomic_Tree	Kraken_Quantity
MAV19T0	1302	Bacteria|Bacillota|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus|gordonii	1.86827296345708E-05
MAV21T0	1302	Bacteria|Bacillota|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus|gordonii	2.49394556325761E-05
MAV27T0	1302	Bacteria|Bacillota|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus|gordonii	2.94462152799088E-05
MAV28T0	1302	Bacteria|Bacillota|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus|gordonii	2.05662486832421E-05
MBCTRL17	1302	Bacteria|Bacillota|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus|gordonii	1.02030030810961E-05
MS10	1302	Bacteria|Bacillota|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus|gordonii	6.76218843892987E-05
MS11	1302	Bacteria|Bacillota|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus|gordonii	3.50363709736842E-05
MS13	1302	Bacteria|Bacillota|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus|gordonii	4.20267257304693E-05
MS14	1302	Bacteria|Bacillota|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus|gordonii	7.50881346336945E-05
MS16	1302	Bacteria|Bacillota|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus|gordonii	4.40173175257962E-05
MS17	1302	Bacteria|Bacillota|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus|gordonii	2.41124963162059E-05
MS18	1302	Bacteria|Bacillota|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus|gordonii	2.30879329095916E-05
MS1	1302	Bacteria|Bacillota|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus|gordonii	2.34132202522633E-05
MS21	1302	Bacteria|Bacillota|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus|gordonii	1.78279332945704E-05
MS23	1302	Bacteria|Bacillota|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus|gordonii	3.7379684141669E-05
MS25	1302	Bacteria|Bacillota|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus|gordonii	2.195209028021E-05
MS26	1302	Bacteria|Bacillota|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus|gordonii	7.53138423764559E-06
MS2	1302	Bacteria|Bacillota|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus|gordonii	4.59711124203704E-05
MS4	1302	Bacteria|Bacillota|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus|gordonii	6.35235695458801E-05
MS7	1302	Bacteria|Bacillota|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus|gordonii	2.94489139846238E-05
MS8	1302	Bacteria|Bacillota|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus|gordonii	1.30669535326125E-05
MS9	1302	Bacteria|Bacillota|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus|gordonii	1.6834901369301E-05
NBCTRL18	1302	Bacteria|Bacillota|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus|gordonii	2.01229290347191E-05
REF1	1302	Bacteria|Bacillota|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus|gordonii	2.1861970922384E-05
RRCTRL16	1302	Bacteria|Bacillota|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus|gordonii	2.07932017707461E-05
TEC02T0	1302	Bacteria|Bacillota|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus|gordonii	3.16837413758478E-05
TEC04T0	1302	Bacteria|Bacillota|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus|gordonii	1.44753344309126E-05
TEC05T0	1302	Bacteria|Bacillota|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus|gordonii	2.81332288766587E-05
TEC07T0	1302	Bacteria|Bacillota|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus|gordonii	2.60568232443466E-05
TEC08T0	1302	Bacteria|Bacillota|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus|gordonii	8.93289516867318E-06
TEC11T0	1302	Bacteria|Bacillota|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus|gordonii	1.42511692154917E-05
TEC12T0	1302	Bacteria|Bacillota|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus|gordonii	2.01706771807655E-05
TEC16T0	1302	Bacteria|Bacillota|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus|gordonii	2.06691089091728E-05
TEC17T0	1302	Bacteria|Bacillota|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus|gordonii	1.21565565141701E-05
TEC22T0	1302	Bacteria|Bacillota|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus|gordonii	2.69143437240852E-05
TEC24T0	1302	Bacteria|Bacillota|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus|gordonii	3.40016192634099E-05
TEC26T0	1302	Bacteria|Bacillota|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus|gordonii	6.65531177388304E-06
TEC28T0	1302	Bacteria|Bacillota|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus|gordonii	3.26061604763253E-05
TEC30T0	1302	Bacteria|Bacillota|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus|gordonii	7.6282601915045E-06
AMCTRL15	2913616	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella|sp. E13-17	3.28802184616149E-05
HV01	2913616	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella|sp. E13-17	1.55684596594319E-05
HV02	2913616	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella|sp. E13-17	1.95242330653734E-05
HV03	2913616	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella|sp. E13-17	8.66041221650887E-07
HV04	2913616	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella|sp. E13-17	6.52920877820311E-06
HV05	2913616	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella|sp. E13-17	6.44941679244299E-06
HV06	2913616	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella|sp. E13-17	2.52743371331193E-06
HV07	2913616	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella|sp. E13-17	5.82595551387487E-06
HV08	2913616	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella|sp. E13-17	1.60321835774161E-05
HV09	2913616	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella|sp. E13-17	7.38049710757569E-06
HV10	2913616	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella|sp. E13-17	9.12927026222089E-06
HV11	2913616	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella|sp. E13-17	7.54959375321448E-06
HV12	2913616	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella|sp. E13-17	0.00010921711490168
HV13	2913616	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella|sp. E13-17	6.25905750870372E-05
HV14	2913616	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella|sp. E13-17	1.04694132848146E-05
MAV02T0	2913616	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella|sp. E13-17	2.93558837485598E-05
MAV05T0	2913616	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella|sp. E13-17	5.25525426890873E-06
MAV10T0	2913616	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella|sp. E13-17	2.91117592530828E-06
MAV11T0	2913616	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella|sp. E13-17	1.28655383301731E-05
MAV13T0	2913616	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella|sp. E13-17	0.000155881114736787
MAV14T0	2913616	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella|sp. E13-17	7.24461647925204E-06
MAV17T0	2913616	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella|sp. E13-17	7.32093881922868E-06
MAV18T0	2913616	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella|sp. E13-17	6.7367626823768E-06
MAV19T0	2913616	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella|sp. E13-17	1.68019179263926E-05
MAV21T0	2913616	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella|sp. E13-17	5.34795120783478E-06
MAV27T0	2913616	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella|sp. E13-17	6.46380335412632E-06
MAV28T0	2913616	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella|sp. E13-17	0.000230602900347547
MAV29T0	2913616	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella|sp. E13-17	6.03969887282932E-05
MAV30T0	2913616	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella|sp. E13-17	0.000168659298731247
MAV32T0	2913616	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella|sp. E13-17	5.05214736919754E-05
MBCTRL17	2913616	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella|sp. E13-17	0.000137403252236745
MS10	2913616	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella|sp. E13-17	0.000153839786985654
MS11	2913616	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella|sp. E13-17	4.78212305768948E-05
MS12	2913616	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella|sp. E13-17	3.32160966170493E-06
MS13	2913616	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella|sp. E13-17	5.54416169824801E-05
MS14	2913616	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella|sp. E13-17	5.24947891201976E-06
MS16	2913616	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella|sp. E13-17	2.80110202436885E-05
MS17	2913616	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella|sp. E13-17	5.5677167337598E-05
MS18	2913616	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella|sp. E13-17	3.18833359227694E-05
MS19	2913616	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella|sp. E13-17	0.000345143173019475
MS1	2913616	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella|sp. E13-17	6.51141747120738E-05
MS20	2913616	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella|sp. E13-17	6.17833653672728E-06
MS21	2913616	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella|sp. E13-17	1.26695972651769E-06
MS22	2913616	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella|sp. E13-17	2.66303606083706E-05
MS23	2913616	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella|sp. E13-17	3.20683617301182E-06
MS24	2913616	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella|sp. E13-17	5.35455232749165E-06
MS25	2913616	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella|sp. E13-17	5.6858087300029E-05
MS26	2913616	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella|sp. E13-17	0.000148527587225107
MS2	2913616	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella|sp. E13-17	1.57072762087123E-05
MS3	2913616	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella|sp. E13-17	0.000549844884905411
MS4	2913616	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella|sp. E13-17	0.000144957605340533
MS5	2913616	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella|sp. E13-17	3.3377638719524E-06
MS6	2913616	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella|sp. E13-17	4.28119169090981E-05
MS7	2913616	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella|sp. E13-17	6.57519730373873E-06
MS8	2913616	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella|sp. E13-17	5.4692000079939E-05
MS9	2913616	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella|sp. E13-17	9.46608932213221E-06
NBCTRL18	2913616	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella|sp. E13-17	0.000408141135405184
REF1	2913616	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella|sp. E13-17	7.0483949968342E-06
RRCTRL16	2913616	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella|sp. E13-17	0.000715390479560544
TEC02T0	2913616	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella|sp. E13-17	3.39290458827976E-05
TEC04T0	2913616	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella|sp. E13-17	5.14416607951976E-05
TEC05T0	2913616	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella|sp. E13-17	1.26191264090554E-05
TEC06T0	2913616	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella|sp. E13-17	1.64111077306255E-06
TEC07T0	2913616	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella|sp. E13-17	9.07953464819599E-05
TEC08T0	2913616	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella|sp. E13-17	4.34832665648637E-05
TEC09T0	2913616	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella|sp. E13-17	6.36148575422635E-06
TEC11T0	2913616	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella|sp. E13-17	1.66607871987874E-05
TEC12T0	2913616	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella|sp. E13-17	4.65839123070556E-05
TEC15T0	2913616	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella|sp. E13-17	1.51736989903318E-05
TEC16T0	2913616	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella|sp. E13-17	1.36356833220879E-05
TEC17T0	2913616	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella|sp. E13-17	0.00178516389680911
TEC22T0	2913616	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella|sp. E13-17	0.000264010934484166
TEC24T0	2913616	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella|sp. E13-17	9.13748012325041E-06
TEC26T0	2913616	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella|sp. E13-17	4.56985985563631E-06
TEC27T0	2913616	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella|sp. E13-17	5.03406318213976E-06
TEC28T0	2913616	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella|sp. E13-17	0.000481073258628661
TEC30T0	2913616	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella|sp. E13-17	0.000193570647089999
BLANK	823	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Tannerellaceae|Parabacteroides|distasonis	0.000840047501767332
HV10	823	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Tannerellaceae|Parabacteroides|distasonis	0.00194756400979657
MAV05T0	823	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Tannerellaceae|Parabacteroides|distasonis	0.000148959276173896
MAV18T0	823	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Tannerellaceae|Parabacteroides|distasonis	0.000579750250069926
MS16	823	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Tannerellaceae|Parabacteroides|distasonis	0.00506341736378768
HV01	544645	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Odoribacteraceae|Butyricimonas|virosa	2.6104689933997E-06
HV03	544645	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Odoribacteraceae|Butyricimonas|virosa	1.40657039792265E-05
HV04	544645	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Odoribacteraceae|Butyricimonas|virosa	3.1920576248993E-05
HV06	544645	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Odoribacteraceae|Butyricimonas|virosa	0.000186669032826038
HV07	544645	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Odoribacteraceae|Butyricimonas|virosa	3.07632230405542E-05
HV08	544645	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Odoribacteraceae|Butyricimonas|virosa	4.43047064836479E-05
MAV05T0	544645	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Odoribacteraceae|Butyricimonas|virosa	4.0773524500154E-05
MAV10T0	544645	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Odoribacteraceae|Butyricimonas|virosa	2.44035611516583E-05
MAV11T0	544645	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Odoribacteraceae|Butyricimonas|virosa	5.69882905900287E-05
MAV14T0	544645	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Odoribacteraceae|Butyricimonas|virosa	5.87790159735059E-05
MAV17T0	544645	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Odoribacteraceae|Butyricimonas|virosa	1.76960116243933E-05
MAV18T0	544645	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Odoribacteraceae|Butyricimonas|virosa	0.000209811291617485
MAV27T0	544645	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Odoribacteraceae|Butyricimonas|virosa	8.50740986911778E-05
MAV29T0	544645	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Odoribacteraceae|Butyricimonas|virosa	0.000127172985254856
MS10	544645	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Odoribacteraceae|Butyricimonas|virosa	0.00107200973322355
MS12	544645	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Odoribacteraceae|Butyricimonas|virosa	0.000138662105150446
MS14	544645	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Odoribacteraceae|Butyricimonas|virosa	3.89593680039114E-05
MS16	544645	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Odoribacteraceae|Butyricimonas|virosa	4.31434104902789E-05
MS19	544645	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Odoribacteraceae|Butyricimonas|virosa	0.000352011348723782
MS20	544645	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Odoribacteraceae|Butyricimonas|virosa	0.000201943342800457
MS21	544645	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Odoribacteraceae|Butyricimonas|virosa	7.01352705750866E-06
MS22	544645	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Odoribacteraceae|Butyricimonas|virosa	9.96789192216094E-05
MS23	544645	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Odoribacteraceae|Butyricimonas|virosa	1.23763833552175E-05
MS24	544645	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Odoribacteraceae|Butyricimonas|virosa	8.36084315232431E-05
MS25	544645	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Odoribacteraceae|Butyricimonas|virosa	3.6253551076624E-05
MS26	544645	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Odoribacteraceae|Butyricimonas|virosa	0.00217450615572984
MS2	544645	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Odoribacteraceae|Butyricimonas|virosa	2.23814302021578E-05
MS4	544645	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Odoribacteraceae|Butyricimonas|virosa	0.00013516543454097
MS5	544645	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Odoribacteraceae|Butyricimonas|virosa	3.63038974565782E-05
MS6	544645	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Odoribacteraceae|Butyricimonas|virosa	0.000598669763453413
MS7	544645	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Odoribacteraceae|Butyricimonas|virosa	4.17226156182694E-05
MS8	544645	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Odoribacteraceae|Butyricimonas|virosa	0.000503166400735439
MS9	544645	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Odoribacteraceae|Butyricimonas|virosa	5.75050755527133E-05
TEC04T0	544645	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Odoribacteraceae|Butyricimonas|virosa	0.000340429689222114
TEC05T0	544645	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Odoribacteraceae|Butyricimonas|virosa	1.09860629914129E-05
TEC06T0	544645	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Odoribacteraceae|Butyricimonas|virosa	3.28678018716139E-05
TEC08T0	544645	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Odoribacteraceae|Butyricimonas|virosa	0.000179949851021825
TEC12T0	544645	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Odoribacteraceae|Butyricimonas|virosa	6.99542925553764E-06
TEC15T0	544645	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Odoribacteraceae|Butyricimonas|virosa	2.66182685677854E-05
TEC16T0	544645	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Odoribacteraceae|Butyricimonas|virosa	0.000102105936971129
TEC22T0	544645	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Odoribacteraceae|Butyricimonas|virosa	0.000160046457912758
TEC24T0	544645	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Odoribacteraceae|Butyricimonas|virosa	1.86390032792996E-05
TEC26T0	544645	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Odoribacteraceae|Butyricimonas|virosa	0.000175377439142297
TEC27T0	544645	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Odoribacteraceae|Butyricimonas|virosa	0.000962806073115951
TEC28T0	544645	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Odoribacteraceae|Butyricimonas|virosa	0.00121838100805387
TEC30T0	544645	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Odoribacteraceae|Butyricimonas|virosa	0.000584483534598882
AMCTRL15	2944914	Bacteria|Bacillota|Erysipelotrichia|Erysipelotrichales|Erysipelotrichaceae|Allocoprobacillus|halotolerans	2.63392938277289E-05
HV01	2944914	Bacteria|Bacillota|Erysipelotrichia|Erysipelotrichales|Erysipelotrichaceae|Allocoprobacillus|halotolerans	0.000102563125150318
HV02	2944914	Bacteria|Bacillota|Erysipelotrichia|Erysipelotrichales|Erysipelotrichaceae|Allocoprobacillus|halotolerans	1.86247426531475E-05
HV03	2944914	Bacteria|Bacillota|Erysipelotrichia|Erysipelotrichales|Erysipelotrichaceae|Allocoprobacillus|halotolerans	1.24530754975317E-05
HV04	2944914	Bacteria|Bacillota|Erysipelotrichia|Erysipelotrichales|Erysipelotrichaceae|Allocoprobacillus|halotolerans	3.42085895815257E-05
HV05	2944914	Bacteria|Bacillota|Erysipelotrichia|Erysipelotrichales|Erysipelotrichaceae|Allocoprobacillus|halotolerans	2.45280969350391E-05
HV06	2944914	Bacteria|Bacillota|Erysipelotrichia|Erysipelotrichales|Erysipelotrichaceae|Allocoprobacillus|halotolerans	2.36946910622993E-05
HV07	2944914	Bacteria|Bacillota|Erysipelotrichia|Erysipelotrichales|Erysipelotrichaceae|Allocoprobacillus|halotolerans	4.21428931564406E-05
HV08	2944914	Bacteria|Bacillota|Erysipelotrichia|Erysipelotrichales|Erysipelotrichaceae|Allocoprobacillus|halotolerans	8.02274414703894E-05
HV09	2944914	Bacteria|Bacillota|Erysipelotrichia|Erysipelotrichales|Erysipelotrichaceae|Allocoprobacillus|halotolerans	2.23288135843407E-05
